Показатель;2024;2025
Выручка, млн руб.;1000;1200
Себестоимость продаж, млн руб.;700;820
Валовая прибыль, млн руб.;300;380
Операционная прибыль, млн руб.;180;230
EBITDA, млн руб.;220;280
Чистая прибыль, млн руб.;120;150
Денежные средства и их эквиваленты, млн руб.;100;130
Дебиторская задолженность, млн руб.;140;160
Запасы, млн руб.;180;200
Оборотные активы, млн руб.;500;590
Внеоборотные активы, млн руб.;700;760
Итого активы, млн руб.;1200;1350
Краткосрочные обязательства, млн руб.;300;320
Долгосрочные обязательства, млн руб.;350;360
Итого обязательства, млн руб.;650;680
Собственный капитал, млн руб.;550;670
Операционный денежный поток, млн руб.;170;210
Инвестиционный денежный поток, млн руб.;-100;-130
Финансовый денежный поток, млн руб.;-40;-50
Капитальные затраты, млн руб.;90;110
Общий долг, млн руб.;400;390
